Year,2022,2021,2020
Net Income,-35.13,3.29,5.12
Depreciation & Amortization,0.19,0,0.01
Share-Based Compensation,2.81,0,0
Other Operating Activities,33.83,-0.34,-0.17
Operating Cash Flow,1.7,2.95,4.95
Operating Cash Flow Growth,-42.39%,-40.48%,-
Capital Expenditures,-0.02,-0.01,-0
Acquisitions,-3.04,0,0
Other Investing Activities,0.16,1.04,0.01
Investing Cash Flow,-2.9,1.04,0.01
Other Financing Activities,4.09,-1.49,-3.57
Financing Cash Flow,4.09,-1.49,-3.57
Net Cash Flow,2.89,2.49,1.38
Free Cash Flow,1.68,2.94,4.95
Free Cash Flow Growth,-42.86%,-40.59%,-
Free Cash Flow Margin,-,41.97%,61.59%
Free Cash Flow Per Share,0.09,0.16,0.26
