Year,2022,2021,2020
Net Income,7.1,8.63,-0.11
Other Operating Activities,-8.61,-9.68,0.08
Operating Cash Flow,-1.52,-1.05,-0.03
Change in Investments,252.37,-278.76,0
Investing Cash Flow,252.37,-278.76,0
Share Issuance / Repurchase,-251.6,270.48,0.03
Debt Issued / Paid,0.61,-0.2,0.2
Other Financing Activities,-,9.69,-0.17
Financing Cash Flow,-250.99,279.97,0.05
Net Cash Flow,-0.14,0.16,0.02
Free Cash Flow,-1.52,-1.05,-0.03
Free Cash Flow Per Share,-0.05,-0.03,-0.01
