Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,256.41,271.11,254.85,237.83,215.71,92.94,96.79,74.11,35.69,23.23,Upgrade
Depreciation & Amortization,48.96,47.22,49.04,36.26,28.41,21.06,16.98,13.65,7.93,6.13,Upgrade
Share-Based Compensation,15.32,15.87,13.2,12.92,9.73,10.68,3.42,4.02,1.42,1.42,Upgrade
Other Operating Activities,1.51,-56.46,-114.6,-31.27,-26.87,-10.12,-26.08,-7.68,-33.4,5.31,Upgrade
Operating Cash Flow,322.2,277.78,202.54,256.08,226.98,114.56,91.13,84.36,11.65,36.09,Upgrade
Operating Cash Flow Growth,15.99%,37.15%,-20.91%,12.82%,98.13%,25.71%,8.03%,624.24%,-67.72%,0.02%,Upgrade
Capital Expenditures,-35.27,-42.24,-12.9,-67.83,-29.74,-30.74,-17.26,-9.09,18.76,-4.77,Upgrade
Acquisitions,276.4,-108.74,181.56,179.5,-55.21,-38.8,106.42,128.76,11.34,35.49,Upgrade
Change in Investments,"-1,193.99","-2,252.55","1,008.41",472.39,"-1,335.74",-286.03,-372.06,-20.63,-66.97,-64.95,Upgrade
Other Investing Activities,6.63,-134.2,12.81,20.42,25.57,17.09,31.95,35.68,49.07,42.64,Upgrade
Investing Cash Flow,-946.23,"-2,537.74","1,189.87",604.48,"-1,395.12",-338.47,-250.95,134.71,12.21,8.4,Upgrade
Dividends Paid,-94.1,-78.85,-74.59,-63.92,-55.65,-35.12,-28.74,-27.03,-15.36,-13.71,Upgrade
Share Issuance / Repurchase,-115.02,-131,-116.46,-11.21,2.19,2.88,4.94,3.53,2.02,-9.91,Upgrade
Debt Issued / Paid,-597.92,-198.38,187.51,-175.1,151.14,447.86,108.63,-171.33,-21.79,-5.18,Upgrade
Other Financing Activities,462.53,846.68,"1,086.66",-447.17,"1,305.88",120.67,108.39,-107.89,-192.21,-14.1,Upgrade
Financing Cash Flow,-344.5,438.46,"1,083.12",-697.39,"1,403.56",536.29,193.21,-302.72,-227.33,-42.9,Upgrade
Net Cash Flow,-968.53,"-1,821.5","2,475.53",163.17,235.42,312.38,33.4,-83.65,-203.47,1.58,Upgrade
Free Cash Flow,286.93,235.54,189.64,188.25,197.24,83.82,73.87,75.27,30.41,31.32,Upgrade
Free Cash Flow Growth,21.82%,24.20%,0.74%,-4.56%,135.31%,13.47%,-1.85%,147.50%,-2.90%,-7.38%,Upgrade
Free Cash Flow Margin,32.86%,28.86%,23.57%,24.89%,29.96%,17.94%,18.54%,20.66%,13.46%,18.71%,Upgrade
Free Cash Flow Per Share,2.26,2.05,1.74,1.95,2.14,0.91,1.18,1.26,0.84,0.97,Upgrade
