Year,2022,2021,2020
Net Income,4.83,-2.63,-0
Other Operating Activities,-5.8,1.96,0
Operating Cash Flow,-0.97,-0.67,-0
Change in Investments,255.06,-276,0
Investing Cash Flow,255.06,-276,0
Share Issuance / Repurchase,-253.71,277.75,0
Debt Issued / Paid,0.15,0,0.15
Other Financing Activities,-,-0.65,-0.11
Financing Cash Flow,-253.56,277.1,0.04
Net Cash Flow,0.53,0.43,0.04
Free Cash Flow,-0.97,-0.67,-0
Free Cash Flow Per Share,-0.14,-0.10,-
