Year,2022
Net Income,13.84
Other Operating Activities,-15
Operating Cash Flow,-1.16
Debt Issued / Paid,0.5
Financing Cash Flow,0.5
Net Cash Flow,-0.66
Free Cash Flow,-1.16
Free Cash Flow Per Share,-0.04
