Year,2022,2021,2020
Net Income,1.08,-1,-0.02
Other Operating Activities,-1.82,-0.07,0
Operating Cash Flow,-0.74,-1.07,-0.01
Change in Investments,0,-46.92,0
Other Investing Activities,-1.37,-,-
Investing Cash Flow,-1.37,-46.92,0
Share Issuance / Repurchase,0,47.96,0.03
Debt Issued / Paid,2.07,0.15,0.01
Other Financing Activities,-,-,-0.03
Financing Cash Flow,2.07,48.11,0.01
Net Cash Flow,-0.03,0.12,0
Free Cash Flow,-0.74,-1.07,-0.01
Free Cash Flow Per Share,-0.12,-0.23,-0.01
