Year,2022,2021,2020
Net Income,-8.85,-16.7,0.4
Depreciation & Amortization,1.66,0.31,0.08
Share-Based Compensation,1.06,14.46,0
Other Operating Activities,1.16,0.96,-1.52
Operating Cash Flow,-4.96,-0.98,-1.04
Capital Expenditures,-1.81,-3.97,-0.33
Change in Investments,-4.61,0,0
Other Investing Activities,-,-,-0.43
Investing Cash Flow,-6.42,-3.97,-0.76
Other Financing Activities,18.53,8.19,2.89
Financing Cash Flow,18.53,8.19,2.89
Net Cash Flow,6.74,3.18,1.17
Free Cash Flow,-6.77,-4.95,-1.36
Free Cash Flow Margin,-63.68%,-29.07%,-69.49%
Free Cash Flow Per Share,-0.35,-0.40,-0.11
