Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,204.13,211.87,133.49,149.13,116.96,75.23,80.11,59.23,41.08,35.7,Upgrade
Depreciation & Amortization,24.48,26.89,27.29,30.8,30.79,30.14,30.76,24.05,17.75,17.24,Upgrade
Share-Based Compensation,8.29,9.06,7.32,6.34,5.18,5.31,3.85,3.95,3.4,1.83,Upgrade
Other Operating Activities,143.06,70.17,17.82,-25.09,89.78,45.2,33.57,14.12,17.35,79.73,Upgrade
Operating Cash Flow,388.01,326.04,190.37,161.17,242.75,155.93,148.53,102.16,80.4,135.59,Upgrade
Operating Cash Flow Growth,19.01%,71.27%,18.11%,-33.60%,55.68%,4.99%,45.38%,27.07%,-40.70%,178.43%,Upgrade
Capital Expenditures,-3.93,-6.71,-12.65,-17.03,-9.77,-3.25,-9.38,-6.93,-6.25,-10.34,Upgrade
Acquisitions,-50.62,-15.68,641.32,26.81,212.2,71.09,8.08,41.74,0,49.67,Upgrade
Change in Investments,"-1,762.24","-1,510.75","-2,934.32",-593.43,-335.98,-49.39,3.56,-113.4,-203.59,-380.28,Upgrade
Other Investing Activities,3.75,8.05,4.23,9.68,9.33,8.84,4.6,9.59,16.17,17,Upgrade
Investing Cash Flow,"-1,813.04","-1,525.1","-2,301.43",-573.97,-124.22,27.3,6.86,-68.99,-193.67,-323.96,Upgrade
Dividends Paid,-54.25,-48.56,-31.91,-24.61,-19.36,-14.56,-12.87,-10.18,-8.2,-8,Upgrade
Share Issuance / Repurchase,2.88,2.93,3,0.66,0.39,0.34,50.48,0.52,0.77,2.16,Upgrade
Debt Issued / Paid,244.29,-122.46,139.09,-108.72,-126.71,-39.66,-4.84,-206.49,-32.35,52.73,Upgrade
Other Financing Activities,"1,159.61","1,464.85","1,960.04",650.57,104.77,-92.07,-288.22,367.9,101.65,98.7,Upgrade
Financing Cash Flow,"1,352.52","1,296.76","2,070.23",517.9,-40.9,-145.95,-255.46,151.75,61.87,145.59,Upgrade
Net Cash Flow,-72.51,97.7,-40.83,105.1,77.63,37.28,-100.08,184.93,-51.4,-42.78,Upgrade
Free Cash Flow,384.08,319.32,177.72,144.15,232.98,152.68,139.15,95.23,74.15,125.24,Upgrade
Free Cash Flow Growth,20.28%,79.68%,23.29%,-38.13%,52.59%,9.73%,46.11%,28.43%,-40.80%,326.42%,Upgrade
Free Cash Flow Margin,54.01%,45.16%,32.61%,27.03%,46.68%,36.64%,35.09%,28.69%,27.38%,51.38%,Upgrade
Free Cash Flow Per Share,9.05,7.56,4.82,3.93,6.76,5.10,5.34,4.62,4.01,6.82,Upgrade
