Year,2022,2021
Net Income,1.64,-0.47
Other Operating Activities,-3.05,-0.18
Operating Cash Flow,-1.4,-0.65
Change in Investments,0.66,-255
Investing Cash Flow,0.66,-255
Share Issuance / Repurchase,0,245
Other Financing Activities,-,11.73
Financing Cash Flow,0,256.73
Net Cash Flow,-0.74,1.08
Free Cash Flow,-1.4,-0.65
Free Cash Flow Per Share,-0.04,-0.07
