Year,2022
Net Income,-0.04
Other Operating Activities,0.04
Change in Investments,-70.38
Investing Cash Flow,-70.38
Share Issuance / Repurchase,71.58
Other Financing Activities,-0.54
Financing Cash Flow,71.04
Net Cash Flow,0.66
