Year,2022,2021,2020
Net Income,-3.84,1.58,4.2
Depreciation & Amortization,1.96,3.05,3.34
Other Operating Activities,0.97,-3.95,-11.53
Operating Cash Flow,-0.91,0.68,-3.99
Change in Investments,-14.5,0,0
Other Investing Activities,-0.1,-,-
Investing Cash Flow,-14.6,0,0
Dividends Paid,-4,0,-3.75
Share Issuance / Repurchase,140.54,0,0
Other Financing Activities,-10.9,3.13,-0.05
Financing Cash Flow,125.63,3.13,-3.8
Net Cash Flow,110.13,3.81,-7.79
Free Cash Flow,-0.91,0.68,-3.99
Free Cash Flow Margin,-8.13%,4.02%,-19.53%
Free Cash Flow Per Share,-0.05,0.04,-0.27
