Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,71.89,147.37,160.03,150.46,149.58,105.63,108.41,116.04,123.56,117.06,Upgrade
Depreciation & Amortization,39.88,45.81,41.33,39.42,38.94,38.47,36.61,37.06,36.07,37.15,Upgrade
Share-Based Compensation,4.88,5.6,5.2,4.79,3.87,4.31,0,0,0,0,Upgrade
Other Operating Activities,179.86,149.99,-141.2,-78.22,46.8,58.2,3.31,19.45,51.63,146.97,Upgrade
Operating Cash Flow,296.52,348.77,65.35,116.45,239.2,206.61,148.34,172.54,211.27,301.18,Upgrade
Operating Cash Flow Growth,-14.98%,433.73%,-43.88%,-51.32%,15.77%,39.28%,-14.03%,-18.33%,-29.85%,168.25%,Upgrade
Capital Expenditures,-28.91,-30.24,-28.03,-27.49,-27.07,-10.34,-11.43,-18.44,-7.75,-11.82,Upgrade
Acquisitions,0,0,-7.93,-0.35,0,-19.78,0,-2.79,0,89.04,Upgrade
Change in Investments,"-2,254.92",-981.62,"-1,202.38",-61.72,443.53,-349.22,-683.63,-555.6,-596.63,-282.45,Upgrade
Other Investing Activities,3.42,6.84,20.62,15.32,22.33,30.47,45.39,49.55,48.12,-53.73,Upgrade
Investing Cash Flow,"-2,280.4","-1,005.01","-1,217.72",-74.24,438.79,-348.86,-649.66,-527.28,-556.26,-258.97,Upgrade
Dividends Paid,-56.68,-58.09,-58.77,-59.8,-62.43,-62.8,-62.67,-62.61,-62.47,-62.28,Upgrade
Share Issuance / Repurchase,-24.6,-61.8,-27.54,-56.62,-62.42,0,-0.75,0,0,0,Upgrade
Debt Issued / Paid,"1,184.33",53.44,30.16,204.08,"-1,324.82",-140.51,147.93,490.11,540.72,-91.63,Upgrade
Other Financing Activities,-651.2,"1,037.02","2,802.11",-120.51,785.47,353.62,466.77,-110.99,-163.05,225.96,Upgrade
Financing Cash Flow,451.84,970.57,"2,745.96",-32.85,-664.19,150.32,551.28,316.52,315.2,72.06,Upgrade
Net Cash Flow,"-1,532.04",314.33,"1,593.59",9.36,13.79,8.06,49.96,-38.22,-29.79,114.27,Upgrade
Free Cash Flow,267.61,318.54,37.32,88.96,212.13,196.27,136.9,154.1,203.52,289.36,Upgrade
Free Cash Flow Growth,-15.99%,753.53%,-58.05%,-58.07%,8.08%,43.36%,-11.16%,-24.28%,-29.67%,204.24%,Upgrade
Free Cash Flow Margin,39.53%,47.92%,5.69%,14.76%,36.12%,33.58%,25.04%,27.86%,35.64%,50.79%,Upgrade
Free Cash Flow Per Share,4.39,5.10,0.59,1.38,3.16,2.90,2.02,2.28,3.02,4.31,Upgrade
