Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,694.6,"3,324","5,677.7","3,943.4","2,593.9","1,592.2","1,031","1,267.6","1,281","1,165.4",Upgrade
Depreciation & Amortization,336.6,337.4,331.8,306.1,262.4,236.1,199.5,150.5,97.1,101.3,Upgrade
Share-Based Compensation,122.7,100.7,89.4,90.2,77.2,95.4,85.2,66.2,51.4,64.9,Upgrade
Other Operating Activities,"5,668","3,972.7",779.8,"1,895","3,329.9","1,833.1","1,417",808.6,296.1,568.3,Upgrade
Operating Cash Flow,"6,848.8","7,761.7","6,905.6","6,261.6","6,284.8","3,756.8","2,732.7","2,292.9","1,725.6","1,899.9",Upgrade
Operating Cash Flow Growth,-11.76%,12.40%,10.28%,-0.37%,67.29%,37.48%,19.18%,32.88%,-9.17%,12.33%,Upgrade
Capital Expenditures,-256.9,-177.3,-201.6,-310.2,-256.6,-140.4,-208.8,-120.1,-102.2,-136.7,Upgrade
Acquisitions,0,-313.2,0,0,0,-18.1,-7.7,-765.3,0,0,Upgrade
Change in Investments,"-7,521.5","-2,677.2","-5,999.7","-4,034.1","-6,790","-3,214.6","-2,315.1","-1,030.3",-704.7,"-1,372",Upgrade
Other Investing Activities,-177.8,47.9,83.6,6,11.7,-33.6,50.9,-8.2,-30,152.2,Upgrade
Investing Cash Flow,"-7,956.2","-3,119.8","-6,117.7","-4,338.3","-7,034.9","-3,406.7","-2,480.7","-1,923.9",-836.9,"-1,356.5",Upgrade
Dividends Paid,-234,"-3,746.5","-1,551","-1,643.2",-654.9,-395.4,-519,-403.6,-892.6,-175.6,Upgrade
Share Issuance / Repurchase,-99,-223,-104.3,-89.7,-75.7,-62,-192.5,-208.3,-271.4,-273.4,Upgrade
Debt Issued / Paid,"1,486",-520,986.3,0,"1,096.9",156.5,451.9,342.3,295.8,-208.1,Upgrade
Other Financing Activities,-26.8,-26.8,-269.8,-38,183.5,-,9.2,16.8,12.8,10.3,Upgrade
Financing Cash Flow,"1,126.2","-4,516.3",-938.8,"-1,770.9",549.8,-300.9,-250.4,-252.8,-855.4,-646.8,Upgrade
Net Cash Flow,18.8,125.6,-150.9,152.4,-200.3,48.9,2,116,33.3,-104,Upgrade
Free Cash Flow,"6,591.9","7,584.4","6,704","5,951.4","6,028.2","3,616.4","2,523.9","2,172.8","1,623.4","1,763.2",Upgrade
Free Cash Flow Growth,-13.09%,13.13%,12.65%,-1.27%,66.69%,43.29%,16.16%,33.84%,-7.93%,12.48%,Upgrade
Free Cash Flow Margin,13.29%,15.90%,15.72%,15.25%,18.85%,13.47%,10.77%,10.42%,8.37%,9.70%,Upgrade
Free Cash Flow Per Share,11.28,12.98,11.46,10.19,10.35,6.23,4.34,3.71,2.75,2.94,Upgrade
