Year,2022,2021
Net Income,-0.86,-1.07
Share-Based Compensation,0,0.71
Other Operating Activities,0.34,-0.41
Operating Cash Flow,-0.52,-0.78
Change in Investments,0,-117.3
Investing Cash Flow,0,-117.3
Share Issuance / Repurchase,0,119.38
Debt Issued / Paid,0,-0.13
Other Financing Activities,-,-0.5
Financing Cash Flow,0,118.75
Net Cash Flow,-0.52,0.66
Free Cash Flow,-0.52,-0.78
Free Cash Flow Per Share,-0.04,-0.19
