Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Net Income,305.07,277.34,99.6,164.7,198.93,64.28,93.01,21.3,393.95,-164.49,Upgrade
Depreciation & Amortization,31.11,36.37,25.98,20.68,18.62,20.83,22.55,26.2,25.93,30.06,Upgrade
Share-Based Compensation,5.41,5.46,5.12,3.95,5.83,7.3,6.88,6.04,4.22,2.93,Upgrade
Other Operating Activities,98.9,80.55,167.04,104.96,64.95,143.56,77.01,208.35,-159.74,473.18,Upgrade
Operating Cash Flow,440.49,399.72,297.74,294.28,288.32,235.96,199.43,261.89,264.35,341.69,Upgrade
Operating Cash Flow Growth,10.20%,34.25%,1.17%,2.07%,22.19%,18.32%,-23.85%,-0.93%,-22.63%,49.30%,Upgrade
Capital Expenditures,-19.26,-12.52,-15.57,-20.91,-17.97,-7.37,-8.09,-8.42,-20.94,-11.79,Upgrade
Acquisitions,0,-3.38,406.63,0,0,0,0,217.66,0,0,Upgrade
Change in Investments,-708.48,"-1,303.49","-1,665.19",-382.77,-264.76,-101.12,35.88,157.93,208.99,-499.7,Upgrade
Other Investing Activities,46.28,56.42,35.27,60.71,59.47,35.24,55.41,71.81,66.68,80.03,Upgrade
Investing Cash Flow,-681.46,"-1,262.98","-1,238.87",-342.97,-223.26,-73.26,83.19,438.98,254.73,-431.45,Upgrade
Dividends Paid,-87.82,-65.02,-43.42,-30.36,-6.52,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,-277.77,-216.52,-0.21,-1.96,-2.83,-2.5,-1.13,-1.17,-0.95,-0.46,Upgrade
Debt Issued / Paid,250.13,-240,69.72,-220.09,-146.35,39.07,-192.03,-70,25,-208.44,Upgrade
Other Financing Activities,"-1,706.12","2,434.02","1,764.77",358.98,-39.57,217.43,-542.24,-673.35,-402.7,7.48,Upgrade
Financing Cash Flow,"-1,821.58","1,912.48","1,790.86",106.58,-195.26,254,-735.4,-744.52,-378.65,-201.42,Upgrade
Net Cash Flow,"-2,062.55","1,049.23",849.73,57.9,-130.19,416.71,-452.77,-43.65,140.44,-291.18,Upgrade
Free Cash Flow,421.22,387.2,282.17,273.37,270.36,228.59,191.34,253.47,243.41,329.9,Upgrade
Free Cash Flow Growth,8.79%,37.23%,3.22%,1.12%,18.27%,19.47%,-24.51%,4.13%,-26.22%,51.38%,Upgrade
Free Cash Flow Margin,47.29%,42.23%,52.20%,44.25%,49.27%,55.80%,39.42%,61.59%,51.80%,129.02%,Upgrade
Free Cash Flow Per Share,2.28,1.88,1.29,1.26,1.25,1.06,0.88,1.18,1.14,1.59,Upgrade
