Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Net Income,124,389,362,402,521,730,881,"1,056","1,088",808,Upgrade
Other Operating Activities,"-2,603","-2,326","-1,215",-911,-59,-297,"-1,013","-1,127",-511,-564,Upgrade
Operating Cash Flow,"-2,479","-1,937",-853,-509,462,433,-132,-71,577,244,Upgrade
Operating Cash Flow Growth,-,-,-,-,6.70%,-,-,-,136.48%,-,Upgrade
Acquisitions,84,62,83,45,116,95,-435,-800,0,0,Upgrade
Change in Investments,"1,563",46,723,"1,215",202,278,"1,520","1,725",-107,602,Upgrade
Other Investing Activities,93,-85,-18,-91,-21,-28,-9,69,11,79,Upgrade
Investing Cash Flow,"1,740",23,788,"1,169",297,345,"1,076",994,-96,681,Upgrade
Dividends Paid,-64,-66,-69,-74,-71,-70,-69,-72,-76,-75,Upgrade
Share Issuance / Repurchase,-500,-496,-446,-500,-500,-501,-294,-550,-589,-265,Upgrade
Debt Issued / Paid,"1,134","2,469",663,-9,-217,-187,-613,-218,80,-538,Upgrade
Other Financing Activities,42,53,35,-1,-7,-8,-2,-7,-,-,Upgrade
Financing Cash Flow,612,"1,960",183,-584,-795,-766,-978,-847,-585,-878,Upgrade
Net Cash Flow,-135,44,115,79,-40,17,-39,72,-109,46,Upgrade
Free Cash Flow,"-2,479","-1,937",-853,-509,462,433,-132,-71,577,244,Upgrade
Free Cash Flow Growth,-,-,-,-,6.70%,-,-,-,136.48%,-,Upgrade
Free Cash Flow Margin,-342.88%,-228.42%,-76.50%,-52.86%,46.15%,24.90%,-7.87%,-3.22%,28.94%,15.17%,Upgrade
Free Cash Flow Per Share,-41.32,-27.73,-10.56,-5.34,4.37,3.69,-1.01,-0.50,3.56,1.34,Upgrade
