Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,166.07,175.89,83.65,167.6,146.92,92.19,90.93,68.01,59.58,33.49,Upgrade
Depreciation & Amortization,42.74,47.35,34.63,8.19,3.5,4.83,3.09,9.2,8.1,9.1,Upgrade
Share-Based Compensation,11.51,10.07,10.58,10.2,7.25,5.29,3.12,4.44,3.91,2.81,Upgrade
Other Operating Activities,353.73,-90.66,-46.62,-22.35,-75.56,104.73,66.66,170.98,53.09,107.9,Upgrade
Operating Cash Flow,574.05,142.66,82.24,163.62,82.11,207.04,163.8,252.63,124.68,153.29,Upgrade
Operating Cash Flow Growth,302.39%,73.46%,-49.74%,99.27%,-60.34%,26.40%,-35.16%,102.61%,-18.66%,-13.74%,Upgrade
Capital Expenditures,-13.6,-10.7,-28.27,-31.24,-21.44,-10.95,-11.1,-22.95,-19.27,-8.05,Upgrade
Acquisitions,-120.89,0,0,-0.25,153.5,41.69,25.26,24.78,0,170.01,Upgrade
Change in Investments,"-1,835.87",-609.31,"-1,247.16",-493.74,-643.71,24.79,-378.25,-249.26,-183.53,-219.11,Upgrade
Other Investing Activities,-73.3,-40,9.88,19.32,8.36,14.13,12.09,-,-,-,Upgrade
Investing Cash Flow,"-2,043.66",-660,"-1,265.55",-505.91,-503.29,69.66,-351.99,-247.43,-202.8,-57.15,Upgrade
Dividends Paid,-49.99,-50.02,-50.13,-50.9,-43.61,-34.42,-29.73,-24.56,-21.52,-19.3,Upgrade
Share Issuance / Repurchase,0,-21.32,-24.57,-62.94,-6.86,0.17,84.52,0.1,0.4,0.28,Upgrade
Debt Issued / Paid,636.39,-13.21,-369.78,216.03,262.9,-190.1,-263.8,66.49,16.56,-17.83,Upgrade
Other Financing Activities,-418.76,"1,846.64","1,846.06",85.93,496.4,-77.13,491.86,2.76,-2.39,54.95,Upgrade
Financing Cash Flow,167.64,"1,762.11","1,401.58",188.11,708.83,-301.47,282.85,44.79,-6.95,18.09,Upgrade
Net Cash Flow,"-1,301.97","1,244.76",218.27,-154.18,287.66,-24.77,94.65,49.99,-85.07,114.23,Upgrade
Free Cash Flow,560.44,131.96,53.97,132.39,60.67,196.1,152.7,229.68,105.42,145.24,Upgrade
Free Cash Flow Growth,324.72%,144.49%,-59.23%,118.19%,-69.06%,28.42%,-33.52%,117.88%,-27.42%,-9.47%,Upgrade
Free Cash Flow Margin,92.37%,20.22%,9.38%,22.44%,11.37%,42.49%,35.44%,66.60%,38.08%,66.42%,Upgrade
Free Cash Flow Per Share,10.02,2.37,0.96,2.31,1.03,3.98,3.63,5.70,3.34,4.63,Upgrade
