Year,2022,2021,2020
Net Income,8.7,1.84,-0
Other Operating Activities,-9.7,-2.62,0
Operating Cash Flow,-1,-0.78,-0
Change in Investments,0.61,-345,0
Investing Cash Flow,0.61,-345,0
Share Issuance / Repurchase,0,347,0.03
Debt Issued / Paid,-0,-0.16,0.08
Other Financing Activities,-,-0.38,-0.03
Financing Cash Flow,-0,346.46,0.08
Net Cash Flow,-0.4,0.68,0.07
Free Cash Flow,-1,-0.78,-0
Free Cash Flow Per Share,-0.02,-0.02,-
