Year,2022,2021,2020
Net Income,16.61,5.55,-6.97
Other Operating Activities,-18.51,-6.27,6.34
Operating Cash Flow,-1.9,-0.71,-0.63
Change in Investments,406.62,0,-414
Investing Cash Flow,406.62,0,-414
Share Issuance / Repurchase,-405.79,0,424.31
Debt Issued / Paid,0.97,0,0
Other Financing Activities,-0.07,-,-8.78
Financing Cash Flow,-404.89,0,415.52
Net Cash Flow,-0.17,-0.71,0.89
Free Cash Flow,-1.9,-0.71,-0.63
Free Cash Flow Per Share,-0.04,-0.01,-0.04
