Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Net Income,305.26,319.02,214.45,289.54,300.4,135.08,177.15,138.2,113.06,66.52,Upgrade
Depreciation & Amortization,31.86,19.48,20.08,19.43,19.21,16.72,14.55,10.3,10.12,7.23,Upgrade
Share-Based Compensation,9.13,8.85,8.61,10.72,9.08,6.71,2.47,3.32,0.85,0.46,Upgrade
Other Operating Activities,66.92,42.03,48.59,-72.27,-24.79,-18.43,-18.47,53.25,121.37,38.83,Upgrade
Operating Cash Flow,413.17,389.38,291.73,247.42,303.9,140.07,175.7,205.06,245.4,113.04,Upgrade
Operating Cash Flow Growth,6.11%,33.47%,17.91%,-18.59%,116.96%,-20.28%,-14.32%,-16.44%,117.09%,-3.94%,Upgrade
Capital Expenditures,-9.02,-10.28,-11.55,-14.9,-7.95,-5.19,-3.08,-10.54,-0.07,-12.72,Upgrade
Acquisitions,858.58,0,-421.21,0,-377.41,227.84,0,147.04,11.72,-52.13,Upgrade
Change in Investments,"-1,876.43",626.93,-274.94,222.36,-415.01,-560.61,-563.02,-909.66,-304.88,88.87,Upgrade
Other Investing Activities,2.6,8.02,55.75,14.19,20.79,19.33,7.42,20.96,46.03,60.15,Upgrade
Investing Cash Flow,"-1,024.27",624.66,-651.94,221.66,-779.58,-318.63,-558.68,-752.21,-247.2,84.17,Upgrade
Dividends Paid,-128.42,-92.14,-87.68,-85.63,-79.87,-60.37,-48.1,-37.58,-23.17,-16.97,Upgrade
Share Issuance / Repurchase,-70.7,-42.11,-25.1,-83.48,-102.82,-19.74,-8.32,-1.63,0.57,0.43,Upgrade
Debt Issued / Paid,61.76,-28.05,-201.24,-845.91,169.1,202.16,-107.85,654.11,341.13,-24.34,Upgrade
Other Financing Activities,"-2,177.06","1,534.78","1,447.41",378.61,511.28,475.8,508.07,75.54,-369.74,-222.65,Upgrade
Financing Cash Flow,"-2,314.43","1,372.49","1,133.4",-636.41,497.68,597.84,343.81,690.44,-51.2,-263.52,Upgrade
Net Cash Flow,"-2,925.53","2,386.53",773.19,-167.34,22.01,419.28,-39.17,143.3,-53.01,-66.32,Upgrade
Free Cash Flow,404.16,379.1,280.18,232.52,295.95,134.88,172.62,194.53,245.33,100.32,Upgrade
Free Cash Flow Growth,6.61%,35.30%,20.50%,-21.43%,119.42%,-21.86%,-11.26%,-20.71%,144.54%,-3.69%,Upgrade
Free Cash Flow Margin,46.44%,53.00%,49.58%,35.15%,44.87%,26.38%,36.39%,49.12%,72.34%,42.19%,Upgrade
Free Cash Flow Per Share,1.98,2.31,1.70,1.39,1.71,0.78,1.23,1.39,1.82,0.77,Upgrade
