Year,2022
Net Income,22.51
Other Operating Activities,-24.38
Operating Cash Flow,-1.87
Change in Investments,-749.75
Investing Cash Flow,-749.75
Share Issuance / Repurchase,750
Debt Issued / Paid,-0.31
Other Financing Activities,2.05
Financing Cash Flow,751.74
Net Cash Flow,0.12
Free Cash Flow,-1.87
Free Cash Flow Per Share,-0.02
