Year,2021,2020,2019
Net Income,3.49,5.04,2.54
Depreciation & Amortization,0.06,0.01,0.02
Other Operating Activities,-1.97,-0.72,-3.5
Operating Cash Flow,1.58,4.33,-0.94
Operating Cash Flow Growth,-63.43%,-,-
Capital Expenditures,-0.41,-0.02,0
Investing Cash Flow,-0.41,-0.02,0
Dividends Paid,0,-5.2,0
Other Financing Activities,-,2.88,-0.58
Financing Cash Flow,0,-2.33,-0.58
Net Cash Flow,1.17,1.99,-1.52
Free Cash Flow,1.17,4.32,-0.94
Free Cash Flow Growth,-72.88%,-,-
Free Cash Flow Margin,14.97%,25.54%,-5.69%
Free Cash Flow Per Share,0.04,0.14,-0.03
