Year,2022,2021,2020
Net Income,-7.69,-0.9,-0.57
Other Operating Activities,6.23,0.12,0.45
Operating Cash Flow,-1.46,-0.78,-0.12
Change in Investments,71.45,-0.9,-91.53
Investing Cash Flow,71.45,-0.9,-91.53
Share Issuance / Repurchase,-71.66,0,93.24
Debt Issued / Paid,1.45,0.9,0
Other Financing Activities,71.45,-0.9,-0.59
Financing Cash Flow,1.25,0,92.65
Net Cash Flow,-0.21,-0.78,1
Free Cash Flow,-1.46,-0.78,-0.12
Free Cash Flow Per Share,-0.25,-0.07,-0.04
