Year,2022
Net Income,-1.66
Other Operating Activities,1.08
Operating Cash Flow,-0.58
Change in Investments,-116.79
Investing Cash Flow,-116.79
Share Issuance / Repurchase,112.21
Debt Issued / Paid,0.16
Other Financing Activities,5
Financing Cash Flow,117.37
Net Cash Flow,0
Free Cash Flow,-0.58
Free Cash Flow Per Share,-0.05
