Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Net Income,213.82,265.76,246.18,173.37,161.44,211.13,113.9,82.13,51.42,41.53,Upgrade
Depreciation & Amortization,235.03,210.28,169.01,152.47,142.13,131.25,111.43,98.17,80.14,75.96,Upgrade
Share-Based Compensation,33.99,36.58,28.32,24.08,23.96,21.13,18.48,14.08,10.03,7.94,Upgrade
Other Operating Activities,"1,099.87",357.83,"-1,854.88",77.64,-263.46,704.14,515.66,"-1,533.1",-844.59,711.49,Upgrade
Operating Cash Flow,"1,582.7",870.46,"-1,411.37",427.56,64.08,"1,067.64",759.46,"-1,338.72",-703,836.91,Upgrade
Operating Cash Flow Growth,81.82%,-,-,567.27%,-94.00%,40.58%,-,-,-,-,Upgrade
Capital Expenditures,-22,-9.21,-2.98,-4.71,-4.72,-5.21,-2.48,-1.41,-2.53,-4.52,Upgrade
Acquisitions,-106.63,-440.21,-55.25,-23.12,-57.39,-21.34,-7.41,-12.77,-23.42,0,Upgrade
Change in Investments,-5.15,71.87,173.41,-51.87,-488.32,131.5,-13.78,-13.05,-89.7,-126.12,Upgrade
Other Investing Activities,-,-,-,-,-1.81,-7.78,-43.1,-,-,-,Upgrade
Investing Cash Flow,-133.78,-377.55,115.18,-79.71,-552.24,97.17,-66.76,-27.23,-115.64,-130.64,Upgrade
Dividends Paid,-80.15,-64.45,-45.35,-37.27,-31.45,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,-41.88,-13.62,-31.75,-25.17,-59.88,-31.89,-9.13,-42.71,-29.84,-1.89,Upgrade
Debt Issued / Paid,"-1,438.07",-379.65,"1,606.77",-262.75,418.31,"-1,057.61",-684.49,"1,426.8",817.8,-600.1,Upgrade
Other Financing Activities,-23.73,-,-12.04,-6.45,-5.15,-,-0.01,1.41,-0.04,1.26,Upgrade
Financing Cash Flow,"-1,583.82",-457.73,"1,517.63",-331.64,321.83,"-1,089.49",-693.62,"1,385.5",787.93,-600.73,Upgrade
Net Cash Flow,-134.9,35.18,221.44,16.22,-166.33,75.32,-0.92,19.56,-30.71,105.54,Upgrade
Free Cash Flow,"1,560.71",861.25,"-1,414.35",422.85,59.35,"1,062.44",756.99,"-1,340.13",-705.53,832.39,Upgrade
Free Cash Flow Growth,81.22%,-,-,612.42%,-94.41%,40.35%,-,-,-,-,Upgrade
Free Cash Flow Margin,123.99%,68.40%,-130.51%,51.74%,8.18%,149.25%,131.59%,-286.23%,-195.56%,260.91%,Upgrade
Free Cash Flow Per Share,48.28,27.71,-46.46,14.14,1.97,35.21,25.43,-45.04,-21.90,24.65,Upgrade
