Year,2022,2021,2020
Net Income,25.7,11.23,-0
Other Operating Activities,-28.57,-13.3,0
Operating Cash Flow,-2.87,-2.07,0
Change in Investments,0,-690,0
Investing Cash Flow,0,-690,0
Share Issuance / Repurchase,0,674.9,0
Debt Issued / Paid,2,2.77,0
Other Financing Activities,-,15.6,-
Financing Cash Flow,2,693.28,0
Net Cash Flow,-0.87,1.2,0
Free Cash Flow,-2.87,-2.07,0
Free Cash Flow Per Share,-0.03,-0.03,-
