Year,2022,2021,2020
Net Income,-419.77,-60.39,-2.14
Other Operating Activities,441.33,62.15,1.16
Operating Cash Flow,21.56,1.76,-0.99
Operating Cash Flow Growth,1124.13%,-,-
Capital Expenditures,-294.21,-81.11,-4.07
Change in Investments,-1.87,0,0
Other Investing Activities,-22.04,-0.25,-0.15
Investing Cash Flow,-318.12,-81.36,-4.22
Share Issuance / Repurchase,215.33,0,2.68
Debt Issued / Paid,53.07,12.36,0
Other Financing Activities,103.63,105.66,4.04
Financing Cash Flow,372.04,118.03,6.73
Net Cash Flow,75.48,38.42,1.52
Free Cash Flow,-272.65,-79.35,-5.06
Free Cash Flow Margin,-461.74%,-934.87%,-231.10%
Free Cash Flow Per Share,-4.92,-1.43,-
