Year,2022,2021,2020,2019
Net Income,6.47,-21.1,-3.68,-3.5
Depreciation & Amortization,2.84,1.61,1.33,0.73
Share-Based Compensation,1.25,0.75,1.47,1.05
Other Operating Activities,-13.74,16.48,0.42,1.34
Operating Cash Flow,-3.19,-2.25,-0.47,-0.37
Capital Expenditures,-0.07,-0.07,0,-0.56
Acquisitions,-23.69,-1.61,-1.95,-11.32
Other Investing Activities,-0.88,-0.62,-,-
Investing Cash Flow,-24.64,-2.3,-1.95,-11.88
Share Issuance / Repurchase,20.33,10.5,1.2,2.57
Debt Issued / Paid,6.48,-1.4,1.25,10.08
Other Financing Activities,-1.69,-0.45,-,-
Financing Cash Flow,25.12,8.64,2.45,12.64
Net Cash Flow,-2.71,4.09,0.04,0.39
Free Cash Flow,-3.26,-2.32,-0.47,-0.94
Free Cash Flow Margin,-19.46%,-23.94%,-6.42%,-21.04%
Free Cash Flow Per Share,-2.98,-3.45,-1.68,-4.88
