Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Net Income,564.14,579,291.9,425.91,417.11,421.89,269.98,182.25,118.61,87.14,Upgrade
Depreciation & Amortization,43.99,43.13,43.79,42.51,35.44,34.07,25.03,17.46,12.98,10,Upgrade
Share-Based Compensation,13.21,16.01,14.85,14.17,14.14,12.33,10.75,8.2,5.68,4.49,Upgrade
Other Operating Activities,143.61,-95.48,201.41,-57.94,238.63,-83.81,-63.84,-6.74,-75.93,-51.46,Upgrade
Operating Cash Flow,764.95,542.66,551.95,424.64,705.31,384.48,241.93,201.18,61.33,50.16,Upgrade
Operating Cash Flow Growth,40.96%,-1.68%,29.98%,-39.79%,83.45%,58.92%,20.26%,228.03%,22.27%,-,Upgrade
Capital Expenditures,-29.85,-33.92,-49.61,-98.69,-86.75,-38.86,-45.17,-16.8,-18.07,-10.11,Upgrade
Acquisitions,-21.35,-102.06,-59.72,0,0,0,203.7,299.81,121.92,56.79,Upgrade
Change in Investments,"-2,101.49","-7,172.73","-3,932.79",-676.89,"-1,394.78","-2,121.11",-835.41,-453.18,-216.08,-229.52,Upgrade
Other Investing Activities,-277.56,"7,434.46","1,069.87",896.21,-44.93,-470.42,"-1,607.36","-1,164.54",-416.89,107.72,Upgrade
Investing Cash Flow,"-2,430.25",125.75,"-2,972.24",120.63,"-1,526.46","-2,630.4","-2,284.25","-1,334.72",-529.12,-75.12,Upgrade
Dividends Paid,-168.86,-146.51,-139.26,-121.12,-102.22,-88.73,-62.17,-47.08,-36.13,-25.74,Upgrade
Common Stock Issued,0,0,0,0,0,299.72,0,110,0,0,Upgrade
Share Repurchases,-355.54,-195.42,-1.85,-1.68,-3.77,0,-3.3,-6.86,-2.35,-1.37,Upgrade
Other Financing Activities,458.24,"-1,057.15","3,455.6",779.26,769.88,"1,608.95","2,876.56","1,004.54",455.8,37.34,Upgrade
Financing Cash Flow,644.92,"-1,008.24","3,318.2",659.81,671.43,"1,819.95","2,817.69","1,074.32",422.02,12.97,Upgrade
Net Cash Flow,"-1,020.38",-339.83,897.91,"1,205.09",-149.72,-425.97,775.37,-59.22,-45.77,-11.99,Upgrade
Free Cash Flow,735.09,508.74,502.34,325.95,618.56,345.62,196.76,184.37,43.26,40.05,Upgrade
Free Cash Flow Growth,44.49%,1.27%,54.11%,-47.30%,78.97%,75.66%,6.72%,326.18%,8.01%,-,Upgrade
Free Cash Flow Margin,58.85%,46.38%,51.00%,33.12%,62.38%,37.19%,28.36%,38.46%,12.51%,15.47%,Upgrade
Free Cash Flow Per Share,6.11,3.94,3.88,2.53,4.81,2.75,1.89,2.12,0.56,0.56,Upgrade
