Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Net Income,"1,436.2","2,093.41","1,363.91","1,594.71",713.62,566.5,664.67,515.8,812.42,687.79,Upgrade
Depreciation & Amortization,106.2,82.96,69.03,82.1,105.67,125.78,19.34,22.93,0,0,Upgrade
Share-Based Compensation,87.63,87.09,71.26,66.42,55.78,67.8,56.58,56.1,54.79,49.24,Upgrade
Other Operating Activities,"2,144.47","1,100.66","1,340.69",263.62,639.91,282.02,608.77,381.15,147.99,91.9,Upgrade
Operating Cash Flow,"3,815.23","3,427.56","2,886.51","2,048.46","1,559.32","1,094.88","1,377.43",997.91,"1,037.13",850.87,Upgrade
Operating Cash Flow Growth,11.31%,18.74%,40.91%,31.37%,42.42%,-20.51%,38.03%,-3.78%,21.89%,-7.68%,Upgrade
Capital Expenditures,-51.67,-41.39,-39.87,-37.84,-29.81,-22.84,-15.3,-15.74,-19.88,-17.5,Upgrade
Acquisitions,0,"-1,103.12",0,0,0,0,"-1,992.72",40.82,-237.11,0,Upgrade
Change in Investments,"-3,175.79",-471.36,"-3,022.37","-1,357.97",-726.83,"-1,432.46",-512.37,-895.3,"-1,305.9","-1,234.37",Upgrade
Other Investing Activities,125.41,-523.86,19.01,-410.68,202.62,103.42,-183.04,-43.66,57.47,-55.64,Upgrade
Investing Cash Flow,"-3,102.06","-2,139.73","-3,043.23","-1,806.48",-554.02,"-1,351.88","-2,703.43",-913.88,"-1,505.42","-1,307.51",Upgrade
Share Issuance / Repurchase,-579.16,"-1,227.88",-81.6,3.33,-290.37,-21.05,-77.67,-360.52,-447.31,-54.75,Upgrade
Debt Issued / Paid,0,0,659.79,150.9,-358.14,56.42,"1,167.57",431.36,0,494.23,Upgrade
Other Financing Activities,-126.56,-1.67,-56.92,-234.9,-340.3,-38.77,545.77,-75.5,987.25,84.54,Upgrade
Financing Cash Flow,-705.73,"-1,229.55",521.28,-80.66,-988.81,-3.41,"1,635.67",-4.66,539.94,524.02,Upgrade
Net Cash Flow,-41.44,24.23,386.85,179.06,-2.64,-242.29,288.47,67.62,51.65,63.02,Upgrade
Free Cash Flow,"3,763.56","3,386.16","2,846.63","2,010.62","1,529.51","1,072.04","1,362.13",982.17,"1,017.25",833.37,Upgrade
Free Cash Flow Growth,11.15%,18.95%,41.58%,31.46%,42.67%,-21.30%,38.69%,-3.45%,22.06%,-7.72%,Upgrade
Free Cash Flow Margin,39.14%,36.61%,33.46%,29.03%,28.06%,19.05%,30.52%,24.95%,25.50%,23.63%,Upgrade
Free Cash Flow Per Share,10.21,8.64,7.06,5.00,3.78,2.65,3.76,2.69,2.59,2.12,Upgrade
