Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Net Income,223,801,214,278,963.1,788.7,515.8,596.5,506.3,496.17,Upgrade
Depreciation & Amortization,113,123,184,249,487.3,497.6,512.1,492.2,313.1,216.12,Upgrade
Share-Based Compensation,33,29,21,55,80.8,75.1,76.5,91.3,72.5,59.18,Upgrade
Other Operating Activities,"1,479",590,"1,464",636,"1,223.7","1,237.7","1,022.8",579.8,452.3,232.02,Upgrade
Operating Cash Flow,"1,848","1,543","1,883","1,218","2,754.9","2,599.1","2,127.2","1,759.8","1,344.2","1,003.49",Upgrade
Operating Cash Flow Growth,19.77%,-18.06%,54.60%,-55.79%,5.99%,22.18%,20.88%,30.92%,33.95%,-11.52%,Upgrade
Capital Expenditures,-68,-84,-54,-142,-199.8,-225.4,-207,-191.7,-158.7,-135.38,Upgrade
Acquisitions,0,-75,-267,"4,403",0,-945.6,0,-45.4,"-1,195.8",0,Upgrade
Change in Investments,"-5,039","-1,423","2,110","-1,410","-1,638.2","-2,861.4","-4,006.7","-3,115.3","-3,332.4","-1,499.87",Upgrade
Other Investing Activities,-4,-109,-15,10,-34,-235.7,-77.8,-10.2,-50.2,15.83,Upgrade
Investing Cash Flow,"-5,111","-1,691","1,774","2,861","-1,872","-4,268.1","-4,291.5","-3,362.6","-4,737.1","-1,619.42",Upgrade
Dividends Paid,-43,-42,-61,-127,-125.2,-115.5,-30,0,0,0,Upgrade
Share Issuance / Repurchase,0,0,0,-964,-425.6,-535.3,-780.4,-933.6,-269.5,-217,Upgrade
Debt Issued / Paid,547,-447,"-1,740","-3,329","-1,499.9","2,141.8","1,041.4","2,130.8",276,-740.36,Upgrade
Other Financing Activities,"2,763","1,097","-2,366",328,832.8,"2,513.9","2,406.4",521.7,"3,509.6","1,661.5",Upgrade
Financing Cash Flow,"3,267",608,"-4,167","-4,092","-1,217.9","4,004.9","2,637.4","1,718.9","3,516.1",704.15,Upgrade
Net Cash Flow,4,460,-495,-10,-347,"2,346.2",487.1,90.8,107.4,76.47,Upgrade
Free Cash Flow,"1,780","1,459","1,829","1,076","2,555.1","2,373.7","1,920.2","1,568.1","1,185.5",868.12,Upgrade
Free Cash Flow Growth,22.00%,-20.23%,69.98%,-57.89%,7.64%,23.62%,22.45%,32.27%,36.56%,-14.70%,Upgrade
Free Cash Flow Margin,79.75%,53.48%,90.01%,37.60%,45.09%,43.36%,26.90%,24.35%,22.36%,20.10%,Upgrade
Free Cash Flow Per Share,35.67,29.36,38.26,21.52,46.54,42.62,32.77,25.33,21.02,17.65,Upgrade
