Metrics,Current,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Market Capitalization,116,115,112,112,111,98,-
Market Cap Growth,-,17.66%,-,-,-,-,-
Enterprise Value,116,115,111,110,110,96,0
PE Ratio,259.00,160.24,985.32,11558.24,-,-,-
PB Ratio,-54.15,-54.15,-55.05,-76.07,-77.68,-71.59,-
Debt / Equity Ratio,-,-,-,-,-,-,3.75
Current Ratio,2.14,2.14,3.17,6.46,12.15,16.01,1.17
Buyback Yield / Dilution,-158.80%,-158.80%,-499.95%,-,-,-,-
Total Shareholder Return,-158.80%,-158.80%,-499.95%,-,-,-,-
