Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,355,347,340,336,244,251,-
Market Cap Growth,-,38.14%,-,-,-,-,-
Enterprise Value,355,347,340,336,243,251,0
PE Ratio,147.00,138.53,3152.55,-386.49,-432.10,-910.30,-
PB Ratio,-35.52,-35.52,-35.50,-34.82,-26.08,-27.86,-
Debt / Equity Ratio,-0.03,-0.03,-0.03,-,-,-,-5.94
Current Ratio,1.35,1.35,0.95,1.54,2.40,7.52,0
Buyback Yield / Dilution,-263.16%,-263.16%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-263.16%,-263.16%,-475.00%,-475.00%,-,-,-
