Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,173,334,327,325,324,323,322,320,278,-
Market Cap Growth,-,3.39%,1.34%,1.56%,16.27%,-,-,-,-,-
Enterprise Value,174,335,327,326,324,323,322,320,278,0
PE Ratio,-1123.80,-1123.80,-23344.65,-350.75,-195.41,-252.58,-,-,-,-
PB Ratio,-85.44,-85.44,-308.80,-341.99,-318.12,-342.91,-5027.96,63.94,55.67,-
Debt / Equity Ratio,-0.26,-0.26,-0.66,-0.92,-0.67,-0.25,-2.74,0.04,0.04,4.44
Current Ratio,0.01,0.01,0.14,0.22,0.36,0.41,1.51,1.75,6.37,1.10
Buyback Yield / Dilution,-11.29%,0.11%,-,-,-73.79%,-490.19%,-,-,-,-
Total Shareholder Return,-11.29%,0.11%,-,-,-73.79%,-490.19%,-,-,-,-
