Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,110,105,102,101,101,99,-,-
Market Cap Growth,-,6.10%,-,-,-,-,-,-
Enterprise Value,110,105,102,101,100,98,0,0
PE Ratio,361.33,506.21,1279.71,-1185.35,-1125.07,-,-,-
PB Ratio,-32.75,-32.75,-42.06,-45.21,-47.38,-48.14,-,-
Debt / Equity Ratio,-0.13,-0.13,-0.03,-0.03,-0.03,-0.03,21.88,11.43
Current Ratio,0.29,0.29,2.91,4.89,7.19,5.03,-,0.02
Buyback Yield / Dilution,-144.29%,-144.29%,-441.13%,-245.48%,-,-,-,-
Total Shareholder Return,-144.29%,-144.29%,-441.13%,-245.48%,-,-,-,-
