Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,464,449,441,437,441,414,398,-
Market Cap Growth,-,8.39%,10.79%,-,-,-,-,-
Enterprise Value,463,448,440,435,439,412,398,0
PE Ratio,30.00,29.32,29.02,34.85,50.89,164.20,-,-
PB Ratio,-33.67,-33.67,-32.11,-28.83,-23.18,-16.45,20947.37,-
Debt / Equity Ratio,-,-,-,-,-,-,10.26,6.83
Current Ratio,1.57,1.57,1.61,2.51,4.17,6.66,1.01,-
Buyback Yield / Dilution,-139.82%,-139.82%,-354.57%,-354.57%,-127.29%,-,-,-
Total Shareholder Return,-139.82%,-139.82%,-354.57%,-354.57%,-127.29%,-,-,-
