Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,300,295,290,285,286,291
Market Cap Growth,-,1.48%,-,-,-,-
Enterprise Value,304,299,294,289,289,294
PE Ratio,130.25,121.15,681.59,-748.62,-737.99,-1122.09
PB Ratio,-24.93,-24.93,-24.99,-25.14,-25.98,-26.71
Debt / Equity Ratio,-0.39,-0.39,-0.40,-0.41,-0.42,-0.42
Current Ratio,3.45,3.45,3.79,5.96,16.85,14.06
Buyback Yield / Dilution,-204.85%,-204.85%,-475.00%,-475.00%,-,-
Total Shareholder Return,-204.85%,-204.85%,-475.00%,-475.00%,-,-
