Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,105,289,285,283,283,282,-,-
Market Cap Growth,-,2.55%,-,-,-,-,-,-
Enterprise Value,106,289,285,283,282,281,0,0
PE Ratio,79.38,37.69,-,16.03,-,22.67,-,-
PB Ratio,-30.96,-30.96,-34.82,-36.36,-22.35,-21.63,-,-
Debt / Equity Ratio,-0.03,-0.03,-,-,-,-,-26.14,-21.63
Current Ratio,0.01,0.01,0.14,0.27,0.15,0.19,0.05,0.11
Buyback Yield / Dilution,-118.19%,-90.11%,-400.00%,-400.00%,-,-,-,-
Total Shareholder Return,-118.19%,-90.11%,-400.00%,-400.00%,-,-,-,-
