Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,151,147,145,144,125,127,-,-,-
Market Cap Growth,-,16.36%,-,-,-,-,-,-,-
Enterprise Value,151,147,145,143,124,125,0,-,0
PE Ratio,-1147.61,-1147.61,-,-,-,-4287.29,-,-,-
PB Ratio,-49.66,-49.66,-53.25,-54.09,-60.74,-71.80,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-,17.04,-,1.04
Current Ratio,1.10,1.10,1.98,2.94,3.50,2.40,-,-,-
Buyback Yield / Dilution,-14.40%,-14.40%,-15.00%,-15.00%,-,-,-,-,-
Total Shareholder Return,-14.40%,-14.40%,-15.00%,-15.00%,-,-,-,-,-
