Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-19
Market Capitalization,117,112,99,111,133,-,-
Enterprise Value,117,113,99,111,132,0,-
PE Ratio,-239.50,-239.50,-248.61,-143.14,-,-,-
PB Ratio,-50.23,-50.23,-45.64,-43.73,-62.13,-,-
Debt / Equity Ratio,-0.04,-0.04,-0.02,-,-,8.11,1.06
Current Ratio,0.04,0.04,0.13,0.77,13.79,1.12,-
Buyback Yield / Dilution,-468.48%,-495.87%,-500.40%,-,-,-,-
Total Shareholder Return,-468.48%,-495.87%,-500.40%,-,-,-,-
