Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,379,367,360,359,356,-,-
Enterprise Value,379,366,359,358,354,0,0
PE Ratio,264.25,242.22,10630.95,-579.69,-746.94,-,-
PB Ratio,-41.84,-41.84,-43.44,-44.75,-46.98,-,-
Debt / Equity Ratio,-,-,-,-,-,93.28,12.43
Current Ratio,1.28,1.28,3.17,9.87,7.65,0.31,-
Buyback Yield / Dilution,-346.14%,-346.14%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-346.14%,-346.14%,-475.00%,-475.00%,-,-,-
