Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,121,252,248,245,248,248,247,241,247
Market Cap Growth,-,1.61%,0.40%,1.77%,0.20%,-,-,-,-
Enterprise Value,120,251,248,245,248,248,246,239,246
PE Ratio,17.05,16.50,25.84,39.50,62.49,-358.56,301.60,-,-
PB Ratio,-21.20,-21.20,-17.28,-21.36,-9.42,-9.51,-10.07,48.10,49.45
Debt / Equity Ratio,-0.02,-0.02,-0.01,-,-,-,-,-,-
Current Ratio,0.13,0.13,0.00,0.00,0.01,0.19,33.28,28.36,11.66
Buyback Yield / Dilution,-17.22%,-0.33%,-,-,-411.36%,-398.34%,-,-,-
Total Shareholder Return,-17.22%,-0.33%,-,-,-411.36%,-398.34%,-,-,-
