Metrics,Current,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,+67 Quarters
Market Capitalization,6,6,12,16,18,18,25,28,24,32,29,27,33,34,33,32,34,37,42,42,45,54,49,51,57,59,59,50,53,56,56,58,61,64,67,70,71,67,69,75,67,Upgrade
Market Cap Growth,-,-64.90%,-53.90%,-44.30%,-24.40%,-43.51%,-14.96%,4.14%,-27.80%,-7.71%,-9.61%,-15.85%,-1.26%,-7.81%,-21.66%,-24.53%,-25.38%,-30.20%,-15.59%,-16.75%,-20.47%,-8.43%,-15.91%,0.53%,7.16%,3.63%,4.89%,-12.52%,-12.90%,-12.23%,-16.25%,-17.25%,-13.63%,-3.37%,-2.95%,-7.19%,5.00%,7.30%,26.78%,25.44%,4.74%,Upgrade
Enterprise Value,-8,-7,-1,6,3,2,23,20,20,26,25,22,28,27,27,28,29,33,34,42,36,53,36,37,44,57,58,50,45,56,56,57,61,64,67,70,70,66,69,75,67,Upgrade
PE Ratio,-0.49,-0.49,-1.12,-1.30,-3.22,-4.83,-1.31,-1.53,-1.12,-1.46,-8.09,-7.68,-10.73,-28.65,-15.70,-19.49,-10.68,-6.83,-5.38,-4.79,-5.20,-9.98,-11.23,-15.12,-40.63,-26.01,-62.02,-51.18,-45.01,-57.52,-186.64,-405.26,72.22,40.02,55.36,58.67,117.23,150.97,44.27,51.34,34.50,Upgrade
PS Ratio,0.38,0.41,0.44,0.50,0.50,0.49,0.69,0.78,0.74,0.98,0.91,0.83,1.07,1.11,1.05,1.00,1.01,1.07,1.16,1.15,1.23,1.47,1.36,1.42,1.62,1.68,1.71,1.49,1.60,1.75,1.77,1.87,2.01,2.11,2.19,2.28,2.27,2.13,2.16,2.32,2.06,Upgrade
PB Ratio,0.33,0.35,0.56,0.72,0.66,0.56,0.72,0.77,0.69,0.86,0.54,0.50,0.61,0.60,0.57,0.57,0.61,0.67,0.73,0.74,0.76,0.85,0.75,0.76,0.83,0.86,0.84,0.72,0.76,0.80,0.78,0.81,0.85,0.90,0.93,0.97,1.00,0.95,0.98,1.07,0.96,Upgrade
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.93%,Upgrade,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,909.10%,Upgrade
Buyback Yield / Dilution,-,0.00%,0.00%,0.00%,0.02%,0.02%,0.03%,0.03%,0.02%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,-,-,-,-,0.03%,0.04%,0.36%,0.53%,0.64%,0.59%,0.48%,0.16%,0.04%,0.08%,0.03%,-0.05%,-0.01%,-0.02%,-0.22%,0.16%,0.29%,0.30%,0.32%,Upgrade,
Total Shareholder Return,-,0.00%,0.00%,0.00%,0.02%,0.02%,0.03%,0.03%,0.02%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,-,-,-,-,0.03%,0.04%,0.36%,0.53%,0.64%,0.59%,0.48%,0.16%,0.04%,0.08%,0.03%,-0.05%,-0.01%,-0.02%,-0.22%,0.16%,0.29%,0.30%,8.25%,Upgrade,
