Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-08
Market Capitalization,152,154,151,150,145,-,-
Enterprise Value,152,154,151,150,145,0,0
PE Ratio,210.80,219.79,776.83,-757.12,-,-,-
PB Ratio,-47.64,-47.64,-48.79,-50.65,-51.23,-,-
Debt / Equity Ratio,-0.04,-0.04,-0.05,-0.05,-0.05,4.11,1.04
Current Ratio,0.53,0.53,1.31,1.76,2.75,0.04,-
Buyback Yield / Dilution,-417.58%,-475.84%,-475.00%,-,-,-,-
Total Shareholder Return,-417.58%,-475.84%,-475.00%,-,-,-,-
