Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+7 Quarters
Market Capitalization,6,7,7,9,13,25,28,33,39,37,31,28,28,26,46,55,68,95,80,124,103,82,67,59,62,59,57,59,57,58,63,66,99,110,169,218,193,194,210,209,170,Upgrade
Market Cap Growth,-,-74.16%,-76.40%,-71.78%,-67.89%,-31.42%,-10.29%,14.53%,39.37%,44.47%,-33.25%,-48.16%,-58.38%,-73.15%,-42.59%,-55.60%,-34.53%,15.55%,20.76%,107.97%,65.97%,39.38%,16.82%,0.16%,8.70%,2.39%,-9.44%,-9.41%,-42.28%,-47.70%,-62.81%,-69.91%,-48.46%,-42.97%,-19.51%,3.99%,13.45%,17.35%,40.86%,40.37%,12.46%,Upgrade
Enterprise Value,7,7,7,9,13,25,28,33,39,37,31,28,28,26,46,55,68,95,80,124,103,82,66,59,56,59,55,50,47,38,61,64,96,104,100,150,151,140,127,95,43,Upgrade
PE Ratio,-0.11,-0.11,-0.10,-0.15,-0.22,-1.01,-3.74,9.15,6.52,1.13,-1.34,-0.52,-0.52,-0.24,-0.71,-0.94,-2.57,8.31,4.05,1.66,2.18,2.59,2.54,-3.77,-2.51,-3.53,-2.31,-2.94,-2.56,-2.38,-4.45,-7.30,4.06,4.22,10.59,6.29,7.75,4.93,4.17,7.44,17.47,Upgrade
PS Ratio,-0.56,-0.56,-0.65,-1.14,7.21,3.64,4.38,6.36,8.45,8.86,8.44,7.80,9.45,14.64,25.79,27.26,26.16,25.85,23.19,43.00,44.32,43.33,42.52,45.59,56.10,60.42,64.91,55.55,42.40,34.26,29.96,28.66,37.65,42.60,69.57,102.16,123.29,142.86,173.91,194.92,179.72,Upgrade
PB Ratio,0.23,0.25,0.21,0.24,0.25,0.29,0.29,0.33,0.37,0.33,0.30,0.30,0.28,0.32,0.36,0.36,0.43,0.51,0.42,0.58,0.56,0.46,0.38,0.43,0.45,0.40,0.38,0.38,0.35,0.35,0.36,0.37,0.53,0.58,0.81,0.81,0.78,0.78,0.82,0.93,0.80,Upgrade
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.42%,-,-,-,1.37%,-,-,Upgrade,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1502.60%,0.00%,0.00%,0.00%,12.70%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,5.60%,5.60%,-,-,-,-5.93%,-,-,-,-,3.98%,3.98%,5.26%,3.98%,-,1.69%,0.36%,1.69%,3.39%,1.73%,1.73%,1.73%,-,1.77%,3.53%,3.53%,3.53%,1.79%,-,-,15.09%,15.09%,15.09%,15.09%,-,-6.03%,-6.03%,-6.03%,-6.03%,-,-,Upgrade
Total Shareholder Return,5.60%,5.60%,-,-,-,-5.93%,-,-,-,-,3.98%,3.98%,5.26%,3.98%,-,1.69%,0.36%,1.69%,3.69%,1.73%,1.73%,1.73%,-,1.77%,3.53%,3.53%,3.53%,1.79%,-,-,15.09%,15.09%,15.09%,15.09%,31.42%,-6.03%,-6.03%,-6.03%,-4.66%,-,-,Upgrade
