Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,305,433,424,419,420,437,491,409,-
Market Cap Growth,-,-0.97%,-13.67%,2.51%,-,-,-,-,-
Enterprise Value,10,138,131,129,419,436,490,399,0
PE Ratio,7.39,8.92,5.07,8.36,-12.65,-8.98,-5.80,-,-
PB Ratio,-100.63,-100.63,-196.21,-35.29,-10.35,-7.85,-5.36,-7.32,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-0.01,0.02
Current Ratio,57.18,57.18,83.49,21.46,146.71,102.28,65.33,0.46,-
Buyback Yield / Dilution,-,-,-133.33%,-167.79%,-,-,-,-,
Total Shareholder Return,-,-,-133.33%,-167.79%,-,-,-,-,
