Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,172,167,164,163,162,-
Enterprise Value,170,166,163,161,161,0
PE Ratio,16.52,16.99,20.59,18.48,-,-
PB Ratio,-30.42,-30.42,-26.27,-33.85,-26.03,-
Debt / Equity Ratio,-,-,-,-,-,-1.55
Current Ratio,2.61,2.61,5.30,7.13,14.80,0
Buyback Yield / Dilution,-370.49%,-400.22%,-400.00%,-,-,-
Total Shareholder Return,-370.49%,-400.22%,-400.00%,-,-,-
