Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,303,300,295,290,286,286,246,-
Market Cap Growth,-,4.93%,19.87%,-,-,-,-,-
Enterprise Value,302,299,295,290,286,285,245,0
PE Ratio,30.09,29.49,21.31,15.23,18.67,-,-,-
PB Ratio,-59.63,-59.63,-44.93,-28.65,-20.75,-18.80,-12.06,-
Debt / Equity Ratio,-0.07,-0.07,-0.02,-,-,-,-,-10.33
Current Ratio,0.62,0.62,0.48,1.63,3.66,6.74,12.81,0
Buyback Yield / Dilution,-,-161.42%,-475.00%,-,-,-,-,
Total Shareholder Return,-,-161.42%,-475.00%,-,-,-,-,
