Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,105,102,100,99,99,98
Market Cap Growth,-,4.72%,-,-,-,-
Enterprise Value,106,103,100,99,98,96
PE Ratio,-42.71,-42.71,-60.19,-117.58,-,-1421.44
PB Ratio,-17.19,-17.19,-25.72,-47.58,-52.43,-79.17
Debt / Equity Ratio,-0.26,-0.26,-0.20,-,-,-
Current Ratio,0.09,0.09,0.24,2.18,3.36,10.92
Buyback Yield / Dilution,-460.23%,-505.83%,-592.50%,-,-,-
Total Shareholder Return,-460.23%,-505.83%,-592.50%,-,-,-
