Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,328,321,313,310,311,315,316,259,-
Market Cap Growth,-,1.72%,-1.04%,19.65%,-,-,-,-,-
Enterprise Value,328,321,312,310,311,315,315,259,0
PE Ratio,114.33,116.94,566.40,-496.57,-416.33,-578.68,-,-,-
PB Ratio,-42.94,-42.94,-43.01,-43.93,-45.68,-47.72,-49.97,13167.57,-
Debt / Equity Ratio,-0.02,-0.02,-0.02,-0.01,-,0.00,-0.01,15.25,0.01
Current Ratio,2.50,2.50,4.18,4.93,6.20,9.79,25.98,0.40,-
Buyback Yield / Dilution,-52.19%,-52.19%,-0.92%,-479.82%,-537.80%,-,-,-,-
Total Shareholder Return,-52.19%,-52.19%,-0.92%,-479.82%,-537.80%,-,-,-,-
