Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,213,207,204,202,183,186,-
Market Cap Growth,-,11.11%,-,-,-,-,-
Enterprise Value,212,206,203,201,183,185,0
PE Ratio,171.83,181.82,881.78,-1110.05,-733.68,-1199.35,-
PB Ratio,-39.43,-39.43,-41.65,-42.50,-38.41,-43.30,-
Debt / Equity Ratio,-,-,-,-,-,-0.04,3.70
Current Ratio,1.19,1.19,2.84,5.75,9.83,1.71,0.49
Buyback Yield / Dilution,-375.62%,-338.66%,-400.00%,-400.00%,-,-,-
Total Shareholder Return,-375.62%,-338.66%,-400.00%,-400.00%,-,-,-
