Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,39,37,77,76,75,75,77
Market Cap Growth,-,-50.06%,-0.10%,-,-,-,-
Enterprise Value,39,38,77,75,75,74,76
PE Ratio,-492.35,-492.35,-240.84,-128.98,-130.57,-187.20,-
PB Ratio,-29.58,-29.58,-74.05,84.32,21.02,12.13,15.38
Debt / Equity Ratio,-0.52,-0.52,-0.55,-,-,-,-
Current Ratio,0.36,0.36,0.59,5.50,13.82,23.32,17.52
Buyback Yield / Dilution,-18.00%,-18.00%,-56.36%,-514.37%,-3871.77%,-,-
Total Shareholder Return,-18.00%,-18.00%,-56.36%,-514.37%,-3871.77%,-,-
