Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,455,446,437,431,431,428,-,-
Market Cap Growth,-,4.13%,-,-,-,-,-,-
Enterprise Value,456,446,437,431,431,427,0,0
PE Ratio,24.56,24.09,15.34,16.14,20.29,35.25,-,-
PB Ratio,-27.89,-27.89,-28.82,-28.87,-21.15,-14.52,-,-
Debt / Equity Ratio,-0.05,-0.05,-,-,-,-,13.81,7.62
Current Ratio,0.39,0.39,0.29,0.65,1.37,1.82,0.01,-
Buyback Yield / Dilution,-122.38%,-122.38%,-475.00%,-590.00%,-,-,-,-
Total Shareholder Return,-122.38%,-122.38%,-475.00%,-590.00%,-,-,-,-
