Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,262,260,257,250,250,251,256,219,-
Market Cap Growth,-,3.71%,0.42%,14.08%,-,-,-,-,-
Enterprise Value,262,260,257,250,250,250,255,220,0
PE Ratio,36.00,35.80,73.82,23.40,69.73,-266.67,819.51,-,-
PB Ratio,-37.49,-37.49,-32.46,-36.94,-19.81,-14.94,-16.47,15886.34,-
Debt / Equity Ratio,-,-,-,-,-,-,-,11.79,11.35
Current Ratio,0.02,0.02,0.04,0.10,0.16,0.24,3.54,0.51,0.09
Buyback Yield / Dilution,-,-165.24%,-475.00%,-400.00%,-400.00%,-,-,-,
Total Shareholder Return,-,-165.24%,-475.00%,-400.00%,-400.00%,-,-,-,
