Metrics,Current,2022-12-31,2022-09-30,2021-12-31,2020-12-31
Market Capitalization,18,-,-,-,-
Enterprise Value,18,0,0,0,0
PB Ratio,1107.23,-,-,-,-
Debt / Equity Ratio,9.38,9.38,8.95,8.26,6.22
Current Ratio,0.00,0.00,0.00,0,0
