Metrics,Current,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,175,615,613,612,606,607,604,453
Market Cap Growth,-,1.34%,1.46%,35.05%,-,-,-,-
Enterprise Value,175,615,614,612,607,607,604,453
PE Ratio,41.24,39.55,30.32,39.87,46.76,52.65,-,-
PB Ratio,-29.34,-29.34,-28.14,-25.62,-18.35,-17.60,120.87,90.61
Debt / Equity Ratio,-0.03,-0.03,-0.03,-0.02,-0.02,-,0.06,0.06
Current Ratio,0.56,0.56,0.46,0.94,1.76,1.44,2.05,4.46
Buyback Yield / Dilution,-,-,-127.85%,-595.29%,-,-,-,
Total Shareholder Return,-,-,-127.85%,-595.29%,-,-,-,
