Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-03-31,2021-12-31,2021-09-30,2020-12-31
Market Capitalization,921,824,-,-,-,-,-,-
Enterprise Value,945,847,4,23,-,21,-,15
PE Ratio,23.48,-,-,-,-,-,-,-
PS Ratio,1.36,-,-,-,-,-,-,-
PB Ratio,1.82,1.62,-,-,-,-,-,-
Debt / Equity Ratio,0.25,0.25,0.31,0.32,-,0.30,-,0.42
Buyback Yield / Dilution,-101.42%,-12.89%,-1.08%,-1.55%,-,-,-,-
Total Shareholder Return,-101.42%,-12.89%,-1.08%,-1.55%,-,-,-,-
