Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,265,263,259,252,249,-,-
Enterprise Value,55,53,51,251,248,0,0
PE Ratio,59.14,59.14,105.96,293.91,4602.47,-,-
PB Ratio,-43.37,-43.37,-44.07,-43.87,-44.30,-,-
Debt / Equity Ratio,-,-,-,-,-,10.12,5.30
Current Ratio,29.69,29.69,29.55,56.51,28.12,0,1.19
Buyback Yield / Dilution,-368.72%,-368.72%,-246.33%,-375.68%,-,-,-
Total Shareholder Return,-368.72%,-368.72%,-246.33%,-375.68%,-,-,-
