Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,123,270,273,271,269,277,283,-,-
Market Cap Growth,-,-2.55%,-3.29%,-,-,-,-,-,-
Enterprise Value,123,271,273,270,268,276,281,0,0
PE Ratio,-31.13,-31.13,-35.06,-37.75,-78.20,-180.02,-,-,-
PB Ratio,-15.53,-15.53,-19.09,-21.68,-31.41,-41.72,-53.13,-,-
Debt / Equity Ratio,-0.03,-0.03,-,-,-,-,-,6.14,2.24
Current Ratio,0.02,0.02,0.03,0.11,0.42,1.29,8.82,-,-
Buyback Yield / Dilution,-64.11%,-64.11%,-59.76%,-309.82%,-309.82%,-,-,-,-
Total Shareholder Return,-64.11%,-64.11%,-59.76%,-309.82%,-309.82%,-,-,-,-
