Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-30,2021-09-30
Market Capitalization,116,321,314,313,312,-,-
Enterprise Value,115,320,313,312,311,0,0
PE Ratio,19.43,20.33,23.82,28.68,33.09,-,-
PB Ratio,-29.95,-29.95,-28.48,-26.07,-23.81,-,-
Debt / Equity Ratio,-,-,-,-,-,105.32,26.47
Current Ratio,0.63,0.63,1.43,3.04,3.66,0.08,0.23
Buyback Yield / Dilution,-373.81%,-397.11%,-318.60%,-318.60%,-,-,-
Total Shareholder Return,-373.81%,-397.11%,-318.60%,-318.60%,-,-,-
