Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,114,111,109,107,-
Enterprise Value,113,111,108,106,0
PE Ratio,14.71,-265.54,-,-,-
PB Ratio,-34.04,-34.04,-58.58,-64.19,-
Debt / Equity Ratio,-,-,-,-,5.86
Current Ratio,0.70,0.70,12.31,7.76,0.04
