Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,120,269,264,261,261,258,258,257,249
Market Cap Growth,-,4.13%,2.27%,1.66%,4.83%,-,-,-,-
Enterprise Value,119,268,263,260,259,256,257,255,247
PE Ratio,43.08,42.76,40.48,32.28,24.16,41.47,37.72,-,-
PB Ratio,-70.16,-70.16,-31.86,-30.44,-25.27,-18.07,-19.38,51.41,49.75
Current Ratio,0.25,0.25,0.94,1.07,1.23,1.31,42.24,15.15,310.58
Buyback Yield / Dilution,-1.72%,0.10%,-,-,-4.70%,-6.65%,-,-,-
Total Shareholder Return,-1.72%,0.10%,-,-,-4.70%,-6.65%,-,-,-
