Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,282,275,269,266,266,249,-
Market Cap Growth,-,10.47%,-,-,-,-,-
Enterprise Value,282,275,269,266,265,248,0
PE Ratio,150.14,140.10,6725.92,-416.80,-488.45,-2223.39,-
PB Ratio,-35.26,-35.26,-34.65,-35.55,-37.12,-37.03,-
Debt / Equity Ratio,-0.06,-0.06,-,-,-,-0.01,1.79
Current Ratio,0.64,0.64,0.66,1.05,1.29,2.07,-
Buyback Yield / Dilution,-263.63%,-263.63%,-329.79%,-329.79%,-,-,-
Total Shareholder Return,-263.63%,-263.63%,-329.79%,-329.79%,-,-,-
