Metrics,Current,2022-12-31,2022-09-30,2022-06-30
Market Capitalization,344,334,326,288
Enterprise Value,344,334,325,287
PE Ratio,36.52,49.24,-,-
PB Ratio,-836.11,-836.11,-247.00,-115.39
Current Ratio,4.60,4.60,13.54,5.14
Buyback Yield / Dilution,-311.48%,-311.48%,-,-
Total Shareholder Return,-311.48%,-311.48%,-,-
